点序号	接近中心度	介数中心度
   433	  0.000000	  0.000000
   434	  0.833586	  0.046897
   435	  0.000000	  0.000000
   436	  0.823017	  0.056116
   437	  0.444956	  0.000000
   438	  0.891563	  0.152411
   439	  0.678764	  0.020823
   440	  0.728241	  0.027715
   441	  0.730844	  0.022942
   442	  0.743321	  0.009063
   443	  0.700875	  0.024767
   444	  0.759187	  0.030919
   445	  0.815629	  0.096681
   446	  0.711710	  0.023657
   447	  0.708326	  0.003139
   448	  0.784919	  0.033292
   449	  0.913426	  0.156980
   450	  0.000000	  0.000000
   451	  0.836400	  0.000030
   452	  0.723605	  0.068504
   453	  0.000000	  0.000000
   454	  0.572550	  0.005395
   455	  0.778311	  0.057545
   456	  0.713763	  0.009212
   457	  0.823059	  0.315743
   458	  0.737672	  0.015756
   459	  0.000000	  0.000000
   460	  0.750433	  0.038353
   461	  0.629940	  0.010678
   462	  0.825522	  0.053537
   463	  0.634426	  0.000010
   464	  0.000000	  0.000000
   465	  0.682284	  0.106702
   466	  0.612837	  0.000014
   467	  0.808027	  0.175634
   468	  0.740316	  0.008409
   469	  0.000000	  0.000000
   470	  0.000000	  0.000000
   471	  0.606981	  0.000000
   472	  0.711564	  0.023086
   473	  0.000000	  0.000000
   474	  0.606981	  0.000000
   475	  0.688657	  0.018864
   476	  0.853426	  0.178246
   477	  0.695451	  0.011053
   478	  0.800116	  0.024752
   479	  0.679120	  0.000030
   480	  0.771901	  0.041515
   481	  0.823901	  0.045622
   482	  0.736459	  0.030621
   483	  0.813632	  0.079426
   484	  0.645079	  0.003323
   485	  0.606981	  0.000000
   486	  0.686913	  0.016895
   487	  0.814316	  0.050651
   488	  0.609186	  0.000114
   489	  0.486573	  0.000147
   490	  0.730116	  0.003249
   491	  0.000000	  0.000000
   492	  0.000000	  0.000000
   493	  0.775489	  0.043342
   494	  0.479065	  0.000000
   495	  0.666292	  0.013076
   496	  0.813480	  0.046959
   497	  0.601787	  0.003599
   498	  0.000000	  0.000000
   499	  0.000000	  0.000000
   500	  0.000000	  0.000000
   501	  0.000000	  0.000000
   502	  0.809544	  0.062385
   503	  0.277711	  0.000000
   504	  0.616184	  0.001097
   505	  0.759572	  0.043516
   506	  0.000000	  0.000000
   507	  0.605058	  0.000051
   508	  0.257376	  0.000000
   509	  0.000000	  0.000000
   510	  0.376174	  0.000000
   511	  0.415100	  0.000000
   512	  0.628895	  0.000070
   513	  0.745016	  0.027262
   514	  0.393744	  0.000000
   515	  0.766432	  0.023592
   516	  0.514605	  0.000200
   517	  0.681623	  0.000003
   518	  0.836471	  0.018611
   519	  0.000000	  0.000000
   520	  0.000000	  0.000000
   521	  0.598690	  0.000217
   522	  0.708621	  0.007404
   523	  0.183898	  0.000000
   524	  0.000000	  0.000000
   525	  0.000000	  0.000000
   526	  0.000000	  0.000000
   527	  0.000000	  0.000000
   528	  0.718216	  0.009157
   529	  0.419021	  0.000000
   530	  0.000000	  0.000000
   531	  0.877836	  0.232372
   532	  0.000000	  0.000000
   533	  0.774948	  0.027184
   534	  0.000000	  0.000000
   535	  0.000000	  0.000000
   536	  0.613930	  0.000014
   537	  0.681623	  0.000003
   538	  0.000000	  0.000000
   539	  0.000000	  0.000000
   540	  0.000000	  0.000000
   541	  0.000000	  0.000000
   542	  0.000000	  0.000000
   543	  0.834856	  0.048184
   544	  0.000000	  0.000000
   545	  0.000000	  0.000000
   546	  0.000000	  0.000000
   547	  0.000000	  0.000000
   548	  0.000000	  0.000000
   549	  0.000000	  0.000000
   550	  0.000000	  0.000000
   551	  0.000000	  0.000000
   552	  0.000000	  0.000000
   553	  0.000000	  0.000000
   554	  0.000000	  0.000000
   555	  0.919794	  0.353722
   556	  0.853148	  0.033534
   557	  0.783226	  0.064109
   558	  0.000000	  0.000000
   559	  0.000000	  0.000000
   560	  0.000000	  0.000000
   561	  0.000000	  0.000000
   562	  0.000000	  0.000000
   563	  0.000000	  0.000000
   564	  0.765182	  0.032473
   565	  0.752647	  0.050093
   566	  0.592692	  0.002904
   567	  0.663335	  0.004614
   568	  0.704065	  0.018333
   569	  0.743184	  0.084717
   570	  0.694896	  0.005378
   571	  0.761221	  0.027455
   572	  0.646062	  0.001423
   573	  0.694637	  0.003008
   574	  0.778954	  0.043569
   575	  0.728495	  0.017640
   576	  0.776751	  0.044890
   577	  0.765477	  0.035672
   578	  0.732213	  0.020898
   579	  0.736066	  0.033952
   580	  0.883155	  0.252336
   581	  0.688226	  0.005055
   582	  0.795619	  0.049213
   583	  0.760812	  0.027231
   584	  0.830976	  0.040058
   585	  0.699108	  0.015288
   586	  0.694770	  0.035740
   587	  0.701461	  0.031493
   588	  0.712466	  0.003501
   589	  0.753719	  0.042594
   590	  0.684996	  0.019499
   591	  0.645787	  0.000617
   592	  0.734404	  0.024938
   593	  0.640300	  0.003969
   594	  0.663601	  0.007174
   595	  0.721600	  0.041104
   596	  0.704683	  0.022144
   597	  0.618579	  0.001368
   598	  0.735263	  0.016538
   599	  0.786192	  0.001173
   600	  0.739013	  0.017004
   601	  0.705360	  0.011054
   602	  0.622607	  0.002573
   603	  0.697865	  0.015134
   604	  0.644631	  0.001633
   605	  0.707382	  0.022828
   606	  0.705934	  0.009663
   607	  0.688359	  0.014434
   608	  0.381887	  0.000000
   609	  0.715846	  0.013102
   610	  0.608342	  0.002538
   611	  0.717976	  0.032514
   612	  0.756643	  0.039105
   613	  0.642216	  0.002886
   614	  0.741142	  0.020581
   615	  0.702250	  0.013550
   616	  0.671087	  0.011446
   617	  0.780309	  0.064020
   618	  0.680580	  0.006486
   619	  0.716889	  0.038962
   620	  0.714611	  0.014761
   621	  0.665580	  0.015464
   622	  0.699929	  0.013367
   623	  0.638236	  0.005574
   624	  0.656846	  0.001883
   625	  0.679029	  0.007898
   626	  0.596481	  0.019643
   627	  0.730714	  0.077406
   628	  0.667538	  0.006162
   629	  0.980668	  0.734850
   630	  0.597614	  0.002674
   631	  0.600723	  0.002188
   632	  0.780911	  0.043651
   633	  0.652748	  0.001553
   634	  0.764333	  0.031984
   635	  0.219535	  0.000000
   636	  0.765627	  0.033595
   637	  0.662453	  0.001146
   638	  0.811444	  0.053793
   639	  0.635115	  0.003338
   640	  0.778145	  0.073711
   641	  0.653697	  0.001154
   642	  0.679718	  0.009330
   643	  0.549737	  0.000196
   644	  0.731883	  0.010713
   645	  0.730385	  0.036832
   646	  1.000000	  1.000000
   647	  0.632744	  0.003461
   648	  0.732746	  0.021738
   649	  0.696001	  0.007029
   650	  0.745338	  0.045137
   651	  0.739139	  0.021847
   652	  0.677696	  0.008407
   653	  0.643199	  0.002050
   654	  0.683922	  0.003291
   655	  0.746048	  0.037260
   656	  0.691726	  0.005234
   657	  0.663686	  0.007022
   658	  0.745974	  0.018277
   659	  0.668480	  0.015199
   660	  0.717219	  0.001507
   661	  0.792018	  0.061533
   662	  0.678284	  0.011088
   663	  0.698581	  0.011353
   664	  0.717193	  0.005344
   665	  0.731013	  0.059673
   666	  0.778351	  0.047207
   667	  0.731977	  0.009160
   668	  0.816357	  0.102611
   669	  0.664343	  0.002136
   670	  0.817050	  0.049418
   671	  0.642713	  0.002609
   672	  0.763000	  0.024181
   673	  0.815343	  0.069155
   674	  0.765222	  0.047976
   675	  0.645936	  0.004484
   676	  0.780579	  0.032345
   677	  0.706913	  0.008393
   678	  0.688928	  0.003223
   679	  0.881203	  0.171846
   680	  0.690068	  0.019867
   681	  0.780340	  0.044127
   682	  0.679527	  0.007778
   683	  0.815145	  0.091529
   684	  0.782335	  0.050544
   685	  0.785861	  0.006837
   686	  0.667707	  0.005485
   687	  0.675206	  0.012318
   688	  0.770592	  0.028823
   689	  0.604870	  0.021678
   690	  0.668820	  0.010625
   691	  0.644265	  0.002634
   692	  0.675598	  0.009400
   693	  0.685359	  0.005562
   694	  0.724295	  0.018960
   695	  0.661400	  0.003226
   696	  0.727794	  0.018819
   697	  0.803881	  0.054130
   698	  0.767286	  0.041295
   699	  0.742435	  0.011915
   700	  0.699099	  0.008632
   701	  0.913750	  0.268883
   702	  0.698730	  0.011112
   703	  0.737724	  0.021037
   704	  0.693325	  0.012921
   705	  0.743532	  0.038013
   706	  0.721382	  0.018536
   707	  0.678461	  0.009368
   708	  0.767417	  0.047076
   709	  0.795049	  0.071124
   710	  0.628528	  0.001765
   711	  0.795907	  0.123569
   712	  0.626464	  0.001366
   713	  0.679497	  0.003253
   714	  0.685065	  0.010699
   715	  0.493422	  0.000014
   716	  0.748979	  0.030296
   717	  0.687935	  0.015680
   718	  0.648299	  0.003466
   719	  0.724937	  0.025305
   720	  0.715235	  0.006249
   721	  0.716614	  0.007125
   722	  0.826421	  0.051723
   723	  0.680818	  0.005287
   724	  0.686176	  0.008829
   725	  0.654391	  0.006667
   726	  0.000000	  0.000000
   727	  0.000000	  0.000000
   728	  0.650344	  0.010586
   729	  0.719826	  0.021982
   730	  0.609232	  0.001604
   731	  0.833505	  0.191771
   732	  0.796623	  0.027517
   733	  0.760164	  0.027764
   734	  0.695468	  0.014524
   735	  0.656048	  0.013377
   736	  0.686915	  0.008734
   737	  0.754759	  0.028529
   738	  0.767159	  0.055661
   739	  0.729633	  0.023373
   740	  0.694947	  0.012801
   741	  0.543102	  0.000000
   742	  0.762182	  0.028014
   743	  0.774396	  0.067214
   744	  0.676405	  0.009484
   745	  0.710301	  0.007521
   746	  0.765980	  0.043149
   747	  0.716812	  0.011225
   748	  0.745934	  0.028369
   749	  0.730203	  0.022684
   750	  0.757503	  0.044230
   751	  0.000000	  0.000000
   752	  0.729237	  0.007310
   753	  0.779568	  0.051875
   754	  0.616822	  0.002185
   755	  0.740321	  0.022738
   756	  0.662293	  0.002197
   757	  0.704549	  0.019116
   758	  0.645015	  0.002015
   759	  0.284894	  0.000000
   760	  0.691902	  0.019857
   761	  0.736867	  0.023488
   762	  0.724127	  0.005582
   763	  0.750362	  0.029768
   764	  0.661043	  0.005529
   765	  0.471650	  0.000515
   766	  0.760542	  0.038228
   767	  0.758647	  0.007230
   768	  0.649674	  0.003442
   769	  0.799125	  0.072681
   770	  0.639202	  0.003180
   771	  0.668488	  0.006739
   772	  0.832265	  0.086311
   773	  0.729360	  0.013940
   774	  0.658550	  0.006028
   775	  0.744327	  0.019481
   776	  0.744895	  0.035555
   777	  0.000000	  0.000000
   778	  0.671014	  0.015138
   779	  0.684446	  0.004194
   780	  0.687152	  0.009858
   781	  0.723030	  0.022433
   782	  0.711055	  0.019774
   783	  0.703484	  0.013639
   784	  0.695361	  0.003485
   785	  0.702212	  0.010597
   786	  0.587952	  0.000113
   787	  0.727786	  0.027612
   788	  0.679845	  0.010640
   789	  0.604013	  0.001127
   790	  0.622541	  0.002071
   791	  0.736658	  0.027717
   792	  0.760892	  0.060520
   793	  0.905911	  0.242740
   794	  0.708379	  0.089490
   795	  0.748982	  0.101001
   796	  0.773820	  0.055682
   797	  0.717329	  0.038964
   798	  0.897716	  0.327315
   799	  0.700681	  0.019986
   800	  0.733609	  0.024751
   801	  0.698777	  0.043666
   802	  0.775616	  0.042669
   803	  0.751098	  0.048505
   804	  0.695099	  0.019237
   805	  0.658101	  0.003037
   806	  0.718247	  0.010410
   807	  0.813168	  0.147961
   808	  0.715695	  0.018735
   809	  0.729016	  0.017376
   810	  0.767192	  0.053436
   811	  0.724518	  0.016968
   812	  0.681466	  0.016078
   813	  0.666513	  0.004119
   814	  0.719742	  0.018746
   815	  0.676344	  0.007104
   816	  0.695616	  0.004075
   817	  0.595654	  0.004896
   818	  0.763978	  0.032023
   819	  0.769694	  0.038571
   820	  0.719803	  0.007116
   821	  0.722163	  0.013971
   822	  0.709445	  0.034895
   823	  0.731823	  0.018510
   824	  0.672414	  0.005327
   825	  0.000000	  0.000000
   826	  0.649389	  0.002192
   827	  0.696533	  0.013628
   828	  0.705705	  0.019203
   829	  0.662516	  0.008951
   830	  0.671761	  0.015043
   831	  0.794754	  0.053033
   832	  0.682648	  0.013517
   833	  0.605199	  0.004666
   834	  0.849517	  0.114801
   835	  0.305091	  0.000000
   836	  0.732610	  0.018624
   837	  0.667032	  0.000881
   838	  0.726570	  0.024236
   839	  0.824983	  0.094041
   840	  0.721918	  0.035782
   841	  0.799451	  0.016390
   842	  0.842855	  0.069254
   843	  0.738712	  0.016149
   844	  0.629168	  0.014610
   845	  0.703751	  0.009656
   846	  0.769451	  0.030815
   847	  0.838261	  0.040833
   848	  0.686527	  0.011617
   849	  0.727542	  0.028111
   850	  0.722957	  0.031483
   851	  0.817603	  0.064482
   852	  0.569811	  0.000651
   853	  0.740661	  0.039556
   854	  0.689858	  0.007235
   855	  0.641150	  0.023396
   856	  0.000000	  0.000000
   857	  0.647176	  0.004321
   858	  0.765564	  0.050452
   859	  0.715859	  0.009652
   860	  0.753045	  0.037013
   861	  0.770321	  0.023330
   862	  0.729104	  0.022441
